DATE,cpi
1959,13.36815627
1960,13.56306078
1961,13.70828375
1962,13.872615
1963,14.04458957
1964,14.22420745
1965,14.44968521
1966,14.88535411
1967,15.29809307
1968,15.95159642
1969,16.82293422
1970,17.80510008
1971,18.56943148
1972,19.17707495
1973,20.36178863
1974,22.61274461
1975,24.68026107
1976,26.09809582
1977,27.79491154
1978,29.91593119
1979,33.28281103
1980,37.79236632
1981,41.6980998
1982,44.25478835
1983,45.67644476
1984,47.64077647
1985,49.32994887
1986,50.26625484
1987,52.10829353
1988,54.23313484
1989,56.8509699
1990,59.91976049
1991,62.45734075
1992,64.34906098
1993,66.24842452
1994,67.9758135
1995,69.88282035
1996,71.93122852
1997,73.61275761
1998,74.75543306
1999,76.39110227
2000,78.97072076
2001,81.20256846
2002,82.49046688
2003,84.36307882
2004,86.62167812
2005,89.56053237
2006,92.44970508
2007,95.08699238
2008,98.73747739
2009,98.38641997
2010,100
2011,103.1568416
2012,105.2915045
2013,106.8338489
2014,108.5669321
2015,108.695722
2016,110.0670089
2017,112.4115573